,time,TSH0,TSH1,TSH2,TSH3,TSOS,V_PSOS,TSHSI,VSHS_OP,VSHS_CL,VSHP_OP,VSHP_CL,V_PC_1,CCH_1,TCO_1,TCI_1,m0plus,m0minus,m2plus,m2minus,m3plus,m3minus,msto
1,0.0,55.1,45.0,47.4,46.0,31.8,0.0,197.0,1.0,0.0,1.0,0.0,0.227,0.0,22.9,23.2,0.227,0.0,0.0,0.0,0.0,0.0,0.0021149068323
2,13.0,55.1,45.0,47.4,46.0,31.8,0.0,197.0,1.0,0.0,1.0,0.0,0.227,0.0,22.9,23.2,0.227,0.0,0.0,0.0,0.0,0.0,0.0021149068323
3,26.0,55.1,45.0,47.4,46.0,31.8,0.0,197.2,1.0,0.0,1.0,0.0,0.227,0.0,22.9,23.2,0.227,0.0,0.0,0.0,0.0,0.0,0.0021149068323
4,40.0,55.1,45.0,47.4,46.0,31.8,0.0,197.0,1.0,0.0,1.0,0.0,0.227,0.0,22.9,23.2,0.227,0.0,0.0,0.0,0.0,0.0,0.0021149068323
5,53.0,55.1,45.0,47.4,46.0,31.8,0.0,197.0,1.0,0.0,1.0,0.0,0.227,0.0,22.9,23.2,0.227,0.0,0.0,0.0,0.0,0.0,0.0021149068323
6,66.0,55.1,45.0,47.4,46.0,31.8,0.0,197.2,1.0,0.0,1.0,0.0,0.227,0.0,22.9,23.2,0.227,0.0,0.0,0.0,0.0,0.0,0.0021149068323
7,79.0,55.1,45.0,47.4,46.0,31.8,0.0,197.2,1.0,0.0,1.0,0.0,0.227,0.0,22.9,23.2,0.227,0.0,0.0,0.0,0.0,0.0,0.0021149068323
8,92.0,55.1,45.0,47.4,46.0,31.8,0.0,197.0,1.0,0.0,1.0,0.0,0.227,0.0,22.9,23.2,0.227,0.0,0.0,0.0,0.0,0.0,0.0021149068323
9,105.0,55.1,45.0,47.4,46.0,31.8,0.0,197.0,1.0,0.0,1.0,0.0,0.227,0.0,22.9,23.2,0.227,0.0,0.0,0.0,0.0,0.0,0.0021149068323
10,118.0,55.1,45.0,47.4,46.0,31.8,0.0,197.0,1.0,0.0,1.0,0.0,0.227,0.0,22.9,23.2,0.227,0.0,0.0,0.0,0.0,0.0,0.0021149068323
11,131.0,55.1,45.0,47.4,46.0,31.8,0.0,197.0,1.0,0.0,1.0,0.0,0.227,0.0,22.9,23.2,0.227,0.0,0.0,0.0,0.0,0.0,0.0021149068323
12,144.0,55.1,45.0,47.4,46.0,31.8,0.0,197.0,1.0,0.0,1.0,0.0,0.227,0.0,22.9,23.2,0.227,0.0,0.0,0.0,0.0,0.0,0.0021149068323
13,157.0,55.1,45.0,47.4,46.0,31.8,0.0,197.0,1.0,0.0,1.0,0.0,0.227,0.0,22.9,23.2,0.227,0.0,0.0,0.0,0.0,0.0,0.0021149068323
14,170.0,55.1,45.0,47.4,46.0,31.8,0.0,197.0,1.0,0.0,1.0,0.0,0.227,0.0,22.9,23.2,0.227,0.0,0.0,0.0,0.0,0.0,0.0021149068323
15,183.0,55.1,45.0,47.4,46.0,31.8,0.0,197.0,1.0,0.0,1.0,0.0,0.227,0.0,22.9,23.2,0.227,0.0,0.0,0.0,0.0,0.0,0.0021149068323
16,196.0,55.1,45.0,47.4,46.0,31.8,0.0,197.0,1.0,0.0,1.0,0.0,0.227,0.0,22.9,23.2,0.227,0.0,0.0,0.0,0.0,0.0,0.0021149068323
17,209.0,55.1,45.0,47.4,46.0,31.8,0.0,197.0,1.0,0.0,1.0,0.0,0.227,0.0,22.9,23.2,0.227,0.0,0.0,0.0,0.0,0.0,0.0021149068323
18,222.0,55.1,45.0,47.4,46.0,31.8,0.0,197.0,1.0,0.0,1.0,0.0,0.227,0.0,22.9,23.2,0.227,0.0,0.0,0.0,0.0,0.0,0.0021149068323
19,235.0,55.1,45.0,47.4,46.0,31.8,0.0,197.0,1.0,0.0,1.0,0.0,0.227,0.0,22.9,23.2,0.227,0.0,0.0,0.0,0.0,0.0,0.0021149068323
20,248.0,55.1,45.0,47.4,46.0,31.8,0.0,197.0,1.0,0.0,1.0,0.0,0.227,0.0,22.9,23.2,0.227,0.0,0.0,0.0,0.0,0.0,0.0021149068323
21,261.0,55.1,45.0,47.4,46.0,31.8,0.0,197.2,1.0,0.0,1.0,0.0,0.227,0.0,22.9,23.2,0.227,0.0,0.0,0.0,0.0,0.0,0.0021149068323
22,274.0,55.1,45.0,47.4,46.0,31.8,0.0,197.0,1.0,0.0,1.0,0.0,0.227,0.0,22.9,23.2,0.227,0.0,0.0,0.0,0.0,0.0,0.0021149068323
23,287.0,55.1,45.0,47.4,46.0,31.8,0.0,197.0,1.0,0.0,1.0,0.0,0.227,0.0,22.9,23.2,0.227,0.0,0.0,0.0,0.0,0.0,0.0021149068323
24,300.0,55.1,45.0,47.4,46.0,31.8,0.0,197.0,1.0,0.0,1.0,0.0,0.227,0.0,22.9,23.2,0.227,0.0,0.0,0.0,0.0,0.0,0.0021149068323
25,313.0,55.1,45.0,47.4,46.0,31.8,0.0,197.0,1.0,0.0,1.0,0.0,0.227,0.0,22.9,23.2,0.227,0.0,0.0,0.0,0.0,0.0,0.0021149068323
26,326.0,55.1,45.0,47.4,46.0,31.8,0.0,197.0,1.0,0.0,1.0,0.0,0.227,0.0,22.9,23.2,0.227,0.0,0.0,0.0,0.0,0.0,0.0021149068323
27,339.0,55.1,45.0,47.4,46.0,31.8,0.0,197.0,1.0,0.0,1.0,0.0,0.227,0.0,22.9,23.2,0.227,0.0,0.0,0.0,0.0,0.0,0.0021149068323
28,352.0,55.1,45.0,47.4,46.0,31.8,0.0,197.0,1.0,0.0,1.0,0.0,0.227,0.0,22.9,23.2,0.227,0.0,0.0,0.0,0.0,0.0,0.0021149068323
29,365.0,55.1,45.0,47.4,46.0,31.8,0.0,197.0,1.0,0.0,1.0,0.0,0.227,0.0,22.9,23.2,0.227,0.0,0.0,0.0,0.0,0.0,0.0021149068323
30,378.0,55.1,45.0,47.4,46.0,31.8,0.0,197.0,1.0,0.0,1.0,0.0,0.227,0.0,22.9,23.2,0.227,0.0,0.0,0.0,0.0,0.0,0.0021149068323
31,391.0,55.1,45.0,47.4,46.0,31.8,0.0,197.0,1.0,0.0,1.0,0.0,0.227,0.0,22.9,23.2,0.227,0.0,0.0,0.0,0.0,0.0,0.0021149068323
32,404.0,55.1,45.0,47.4,46.0,31.8,0.0,197.2,1.0,0.0,1.0,0.0,0.227,0.0,22.9,23.2,0.227,0.0,0.0,0.0,0.0,0.0,0.0021149068323
33,417.0,55.1,45.0,47.4,46.0,31.8,0.0,197.2,1.0,0.0,1.0,0.0,0.227,0.0,22.9,23.2,0.227,0.0,0.0,0.0,0.0,0.0,0.0021149068323
34,430.0,55.1,45.0,47.4,46.0,31.8,0.0,197.0,1.0,0.0,1.0,0.0,0.227,0.0,22.9,23.2,0.227,0.0,0.0,0.0,0.0,0.0,0.0021149068323
35,443.0,55.1,45.0,47.4,46.0,31.8,0.0,197.0,1.0,0.0,1.0,0.0,0.227,0.0,22.9,23.2,0.227,0.0,0.0,0.0,0.0,0.0,0.0021149068323
36,456.0,55.1,45.0,47.4,46.0,31.8,0.0,197.0,1.0,0.0,1.0,0.0,0.227,0.0,22.9,23.2,0.227,0.0,0.0,0.0,0.0,0.0,0.0021149068323
37,469.0,55.1,45.0,47.4,46.0,31.8,0.0,197.2,1.0,0.0,1.0,0.0,0.227,0.0,22.9,23.2,0.227,0.0,0.0,0.0,0.0,0.0,0.0021149068323
38,482.0,55.1,45.0,47.4,46.0,31.8,0.0,197.0,1.0,0.0,1.0,0.0,0.227,0.0,22.9,23.2,0.227,0.0,0.0,0.0,0.0,0.0,0.0021149068323
39,495.0,55.1,45.0,47.4,46.0,31.8,0.0,197.2,1.0,0.0,1.0,0.0,0.227,0.0,22.9,23.2,0.227,0.0,0.0,0.0,0.0,0.0,0.0021149068323
40,508.0,55.1,45.0,47.4,46.0,31.8,0.0,197.0,1.0,0.0,1.0,0.0,0.227,0.0,22.9,23.2,0.227,0.0,0.0,0.0,0.0,0.0,0.0021149068323
41,521.0,55.1,45.0,47.4,46.0,31.8,0.0,197.0,1.0,0.0,1.0,0.0,0.227,0.0,22.9,23.2,0.227,0.0,0.0,0.0,0.0,0.0,0.0021149068323
