,time,TSH0,TSH1,TSH2,TSH3,TSOS,V_PSOS,TSHSI,VSHS_OP,VSHS_CL,VSHP_OP,VSHP_CL,V_PC_1,CCH_1,TCO_1,TCI_1,m0plus,m0minus,m2plus,m2minus,m3plus,m3minus,msto
1,0.0,50.4,46.0,50.4,50.6,32.5,0.0,197.0,1.0,0.0,0.0,1.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2,13.0,50.4,46.0,50.4,50.6,32.5,0.0,197.0,1.0,0.0,0.0,1.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
3,26.0,50.4,46.0,50.4,50.6,32.5,0.0,197.0,1.0,0.0,0.0,1.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
4,39.0,50.4,46.0,50.4,50.6,32.5,0.0,197.0,1.0,0.0,0.0,1.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
5,52.0,50.4,46.0,50.4,50.6,32.5,0.0,197.0,1.0,0.0,0.0,1.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
6,65.0,50.4,46.0,50.4,50.6,32.5,0.0,197.0,1.0,0.0,0.0,1.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
7,78.0,50.4,46.0,50.4,50.6,32.5,0.0,197.0,1.0,0.0,0.0,1.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
8,91.0,50.4,46.0,50.4,50.6,32.5,0.0,197.0,1.0,0.0,0.0,1.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
9,104.0,50.4,46.0,50.4,50.6,32.5,0.0,197.0,1.0,0.0,0.0,1.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
10,117.0,50.4,46.0,50.4,50.6,32.5,0.0,197.0,1.0,0.0,0.0,1.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
11,130.0,50.4,46.0,50.4,50.6,32.5,0.0,197.0,1.0,0.0,0.0,1.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
12,143.0,50.4,46.0,50.4,50.6,32.5,0.0,197.0,1.0,0.0,0.0,1.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
