,time,TSH0,TSH1,TSH2,TSH3,TSOS,V_PSOS,TSHSI,VSHS_OP,VSHS_CL,VSHP_OP,VSHP_CL,V_PC_1,CCH_1,TCO_1,TCI_1,m0plus,m0minus,m2plus,m2minus,m3plus,m3minus,msto
1,0.0,65.8,59.2,65.4,65.9,40.1,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.1,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,13.0,65.8,59.2,65.4,65.9,40.1,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.1,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,26.0,65.8,59.2,65.4,65.9,40.1,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.1,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,39.0,65.8,59.2,65.4,65.9,40.1,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.1,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,52.0,65.8,59.2,65.4,65.9,40.1,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,23.1,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,65.0,65.8,59.2,65.4,65.9,40.1,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.1,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,78.0,65.8,59.2,65.4,65.9,40.1,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.1,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,91.0,65.8,59.2,65.4,65.9,40.1,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.1,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,104.0,65.8,59.2,65.4,65.9,40.1,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,23.1,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,117.0,65.8,59.2,65.4,65.9,40.1,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.1,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,130.0,65.8,59.2,65.4,65.9,40.1,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,23.1,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,143.0,65.8,59.2,65.4,65.9,40.1,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,23.1,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,156.0,65.8,59.2,65.4,65.9,40.1,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,23.1,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,169.0,65.8,59.2,65.4,65.9,40.1,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.1,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,182.0,65.8,59.2,65.4,65.9,40.1,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.1,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,195.0,65.8,59.2,65.4,65.9,40.1,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.1,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,208.0,65.8,59.2,65.4,65.9,40.1,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.1,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,221.0,65.8,59.2,65.4,65.9,40.1,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.1,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,234.0,65.8,59.2,65.4,65.9,40.1,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,23.1,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,247.0,65.8,59.2,65.4,65.9,40.1,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.1,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,260.0,65.8,59.2,65.4,65.9,40.1,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,23.1,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,273.0,65.8,59.2,65.4,65.9,40.1,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.1,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
