,time,TSH0,TSH1,TSH2,TSH3,TSOS,V_PSOS,TSHSI,VSHS_OP,VSHS_CL,VSHP_OP,VSHP_CL,V_PC_1,CCH_1,TCO_1,TCI_1,m0plus,m0minus,m2plus,m2minus,m3plus,m3minus,msto
1,0.0,66.8,60.7,63.9,63.7,40.6,0.0,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2,13.0,66.8,60.7,63.9,63.7,40.6,0.0,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
3,26.0,66.8,60.7,63.9,63.7,40.6,0.0,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
4,39.0,66.8,60.7,63.9,63.7,40.9,0.0,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
5,52.0,66.8,60.7,63.9,63.7,40.6,0.0,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
6,65.0,66.8,60.7,63.9,63.7,40.6,0.0,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
7,78.0,66.8,60.7,63.9,63.7,40.6,0.0,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
8,91.0,66.8,60.7,63.9,63.7,40.6,0.0,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
9,104.0,66.8,60.7,63.9,63.7,40.6,0.0,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
10,117.0,66.8,60.7,63.9,63.7,40.6,0.0,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
11,130.0,66.8,60.7,63.9,63.7,40.6,0.0,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
12,143.0,66.8,60.7,63.9,63.7,40.6,0.0,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
13,156.0,66.8,60.7,63.9,63.7,40.6,0.0,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
14,169.0,66.8,60.7,63.9,63.7,40.6,0.0,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
15,182.0,66.8,60.7,63.9,63.7,40.6,0.0,196.1,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
16,195.0,66.8,60.7,63.9,63.7,40.6,0.0,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
17,208.0,66.8,60.7,63.9,63.7,40.6,0.0,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
18,221.0,66.8,60.7,63.9,63.7,40.6,0.0,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
19,234.0,66.8,60.7,63.9,63.7,40.6,0.0,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
20,247.0,66.8,60.7,63.9,63.7,40.6,0.0,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
21,260.0,66.8,60.7,63.9,63.7,40.4,0.0,196.1,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
22,273.0,66.8,60.7,63.9,63.7,40.6,0.0,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
23,286.0,66.8,60.7,63.9,63.7,40.4,0.0,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
24,299.0,66.8,60.7,63.9,63.7,40.6,0.0,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
25,312.0,66.8,60.7,63.9,63.7,40.4,0.0,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
26,325.0,66.8,60.7,63.9,63.7,40.4,0.0,196.1,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
27,338.0,66.8,60.7,63.9,63.7,40.4,0.0,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
28,351.0,66.8,60.7,63.9,63.7,40.4,0.0,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
29,364.0,66.8,60.7,63.9,63.7,40.4,0.0,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
30,377.0,66.8,60.7,63.9,63.7,40.4,0.0,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
31,390.0,66.8,60.7,63.9,63.7,40.4,0.0,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
32,403.0,66.8,60.7,63.9,63.7,40.4,0.0,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
33,416.0,66.8,60.7,63.9,63.7,40.4,0.0,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
34,429.0,66.8,60.7,63.9,63.7,40.4,0.0,196.1,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
35,442.0,66.8,60.7,63.9,63.7,40.4,0.0,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
36,455.0,66.8,60.7,63.9,63.7,40.4,0.0,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
37,468.0,66.8,60.7,63.9,63.7,40.4,0.0,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
38,481.0,66.8,60.7,63.9,63.7,40.4,0.0,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
39,494.0,66.8,60.7,63.9,63.7,40.4,0.0,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
40,507.0,66.8,60.7,63.9,63.7,40.4,0.0,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
41,520.0,66.8,60.7,63.9,63.7,40.4,0.0,196.1,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
42,533.0,66.8,60.7,63.9,63.7,40.4,0.0,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
43,546.0,66.8,60.7,63.9,63.7,40.4,0.0,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
44,559.0,66.8,60.7,63.9,63.7,40.4,0.0,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
45,572.0,66.8,60.7,63.9,63.7,40.4,0.0,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
46,585.0,66.8,60.7,63.9,63.7,40.4,0.0,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
47,598.0,66.8,60.7,63.9,63.7,40.4,0.0,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
48,611.0,66.8,60.7,63.9,63.7,40.4,0.0,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
49,624.0,66.8,60.7,63.9,63.7,40.4,0.0,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
