,time,TSH0,TSH1,TSH2,TSH3,TSOS,V_PSOS,TSHSI,VSHS_OP,VSHS_CL,VSHP_OP,VSHP_CL,V_PC_1,CCH_1,TCO_1,TCI_1,m0plus,m0minus,m2plus,m2minus,m3plus,m3minus,msto
1,0.0,56.3,49.6,56.2,56.5,38.2,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,22.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,13.0,56.6,49.6,56.2,56.5,38.2,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,22.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,26.0,56.6,49.6,56.2,56.5,38.2,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,22.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,39.0,56.6,49.6,56.2,56.5,38.2,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,22.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,52.0,56.6,49.6,56.2,56.5,38.2,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,22.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,65.0,56.3,49.6,56.2,56.5,38.2,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,22.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,78.0,56.3,49.6,56.2,56.5,38.2,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,22.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,91.0,56.3,49.6,56.2,56.5,38.2,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,22.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,104.0,56.6,49.6,56.2,56.5,38.2,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,22.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,117.0,56.6,49.6,56.2,56.5,38.2,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,22.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,130.0,56.6,49.6,56.2,56.5,38.2,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,22.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,143.0,56.3,49.6,56.2,56.5,38.2,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,22.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,156.0,56.3,49.6,56.2,56.5,38.2,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,22.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,169.0,56.3,49.6,56.2,56.5,38.2,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,22.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,182.0,56.3,49.6,56.2,56.5,38.2,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,22.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,195.0,56.6,49.6,56.2,56.5,38.2,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,22.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,208.0,56.3,49.6,56.2,56.5,38.2,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,22.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,221.0,56.3,49.6,56.2,56.5,38.2,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,22.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,234.0,56.6,49.6,56.2,56.5,38.2,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,22.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,247.0,56.6,49.6,56.2,56.5,38.2,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,22.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,260.0,56.3,49.6,56.2,56.5,38.2,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,22.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,273.0,56.3,49.6,56.2,56.5,38.2,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,22.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,286.0,56.3,49.6,56.2,56.5,38.2,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,22.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,299.0,56.3,49.6,56.2,56.5,38.2,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,22.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,312.0,56.3,49.6,56.2,56.5,38.2,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,22.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,325.0,56.6,49.6,56.2,56.5,38.2,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,22.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,338.0,56.3,49.6,56.2,56.5,38.2,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,22.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,351.0,56.3,49.6,56.2,56.5,38.0,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,22.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,364.0,56.3,49.6,56.2,56.5,38.2,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,22.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,377.0,56.3,49.6,56.2,56.5,38.0,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,22.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,390.0,56.6,49.6,56.2,56.5,38.0,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,22.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,403.0,56.6,49.6,56.2,56.5,38.0,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,22.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,416.0,56.6,49.6,56.2,56.5,38.0,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,22.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,429.0,56.3,49.6,56.2,56.5,38.0,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,22.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,442.0,56.3,49.6,56.2,56.5,38.0,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,22.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,455.0,56.3,49.6,56.2,56.5,38.0,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,22.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,468.0,56.3,49.6,56.2,56.5,38.0,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,22.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,481.0,56.3,49.6,56.2,56.5,38.0,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,22.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,494.0,56.3,49.6,56.2,56.5,38.0,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,22.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,507.0,56.3,49.6,56.2,56.5,38.0,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,22.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,520.0,56.3,49.6,56.2,56.5,38.0,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,22.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,533.0,56.3,49.6,56.2,56.5,38.0,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,22.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
